Restaurant,Cuisine,Budget,Aesthetics,Type,Diet,Rating,pic,url,latitude,longitude,address
4 Seasons Bakery & Restaurant,Bakery,Medium,5.5,Both,Moderate,4.3,https://lh3.googleusercontent.com/p/AF1QipMr00bzpCQCwfRIDKfuUqPki7a2RaZdZP-isypz=s680-w680-h510,https://www.zomato.com/visakhapatnam/4-seasons-bakery-restaurant-gajuwaka-vizag/order,17.6855483,83.2048548,"10-185/1, Main Road, Gajuwaka, Vizag"
4S Biryanis,South Indian,Medium,3.5,Both,Moderate,3.4,"https://b.zmtcdn.com/data/reviews_photos/aea/f1eaf7d498f3f166a8ac562fc4e2faea_1692953508.jpg?fit=around|750:500&crop=750:500;*,*",https://www.zomato.com/visakhapatnam/4s-biryanis-dwaraka-nagar-vizag/order,17.725277,83.308578,"48-16-11, Ashok Nagar, Asilameta, Dwaraka Nagar"
5 Heads Resto Cafe,South Indian,Medium,5,Both,Moderate,3.2,https://content3.jdmagicbox.com/comp/visakhapatnam/w4/0891px891.x891.220630184307.e2w4/catalogue/-miumf11zxw.jpg,https://www.zomato.com/visakhapatnam/5-heads-resto-cafe-gajuwaka-vizag/order,17.681429,83.203668,"Shop 2, 24/89/16, Prasanthi Nagar, Gajuwaka"
72 Biryani's,South Indian,Medium,4,Both,Moderate,3.6,https://lh3.googleusercontent.com/p/AF1QipMkb4so5LxuXGGQ8gDjoB8vKvv4JtspFPzemv7x=s680-w680-h510,https://www.zomato.com/visakhapatnam/72-biryanis-mvp-colony-vizag/order,17.74557615,83.33433978,"1-62-14, MIG, Sector 2, MVP Colony"
72 Biryanis,South Indian,Medium,3.5,Both,Moderate,3.5,https://b.zmtcdn.com/data/dish_photos/300/0faf805425da66bf848ee12d4cf38300.jpg,https://www.zomato.com/visakhapatnam/72-biryanis-2-madhavadhara-vizag/order,17.746107,83.260803,"39-10-12, Madhavadhara, Vizag"
7th Heaven Bakery,Bakery,Medium,4,Non Veg,Moderate,4.3,"https://b.zmtcdn.com/data/pictures/7/19151967/0f3fc8b0e93546ff5f601e6e08dbf93a.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*",https://www.zomato.com/visakhapatnam/7th-heaven-bakery-gajuwaka-vizag/order,17.68073761,83.2013629,"Shop 26, 50-16, Kanithi Road, Opposite SBI Bank"
